eurostat: demo_r_pjangrp3 (nuts3)
  DEA56: no ISO3 for Eurostat country code 'DE'; skipped
  DEA57: no ISO3 for Eurostat country code 'DE'; skipped
  DEA58: no ISO3 for Eurostat country code 'DE'; skipped
  DEA59: no ISO3 for Eurostat country code 'DE'; skipped
  DEA5A: no ISO3 for Eurostat country code 'DE'; skipped
  DEA5B: no ISO3 for Eurostat country code 'DE'; skipped
  DEA5C: no ISO3 for Eurostat country code 'DE'; skipped
  DEB11: no ISO3 for Eurostat country code 'DE'; skipped
  DEB12: no ISO3 for Eurostat country code 'DE'; skipped
  DEB13: no ISO3 for Eurostat country code 'DE'; skipped
  DEB14: no ISO3 for Eurostat country code 'DE'; skipped
  DEB15: no ISO3 for Eurostat country code 'DE'; skipped
  DEB17: no ISO3 for Eurostat country code 'DE'; skipped
  DEB18: no ISO3 for Eurostat country code 'DE'; skipped
  DEB1A: no ISO3 for Eurostat country code 'DE'; skipped
  DEB1B: no ISO3 for Eurostat country code 'DE'; skipped
