adm3_name	adm3_name1	adm3_name2	adm3_name3	adm3_pcode	adm2_name	adm2_name1	adm2_name2	adm2_name3	adm2_pcode	adm1_name	adm1_name1	adm1_name2	adm1_name3	adm1_pcode	adm0_name	adm0_name1	adm0_name2	adm0_name3	adm0_pcode	valid_on	valid_to	area_sqkm	version	lang	lang1	lang2	lang3	adm3_ref_name	center_lat	center_lon
Al-Nasr	النصر			IQG17Q02N02	Al-Rifai	الرفاعي			IQG17Q02	Thi Qar	ذي قار			IQG17	Iraq	العراق			IQ	2019-06-03 00:00:00		935.9782635	v01	en	ar			Al-Nasr	31.46935117	45.95418395
Al-Nekhaeeb	النخيب			IQG01Q04N01	Al-Rutba	الرطبة			IQG01Q04	Al-Anbar	الانبار			IQG01	Iraq	العراق			IQ	2019-06-03 00:00:00		39895.40097756	v01	en	ar			Al-Nekhaeeb	32.14970302	41.78731805
Al-Obiadi	العبيدي			IQG01Q02N02	Al-Kaim	القائم			IQG01Q02	Al-Anbar	الانبار			IQG01	Iraq	العراق			IQ	2019-06-03 00:00:00		1611.1856528	v01	en	ar			Al-Obiadi	34.10370587	41.36331329
Al-Qahtanya	القحطانية			IQG15Q02N02	Al-Baaj	البعاج			IQG15Q02	Ninewa	نينوى			IQG15	Iraq	العراق			IQ	2019-06-03 00:00:00		1063.29503619	v01	en	ar			Al-Qahtanya	36.20728311	41.59725065
Al-Qairawan	القيروان			IQG15Q07N01	Sinjar	سنجار			IQG15Q07	Ninewa	نينوى			IQG15	Iraq	العراق			IQ	2019-06-03 00:00:00		812.90004311	v01	en	ar			Al-Qairawan	36.21383448	42.03733239
Al-Qasim	القاسم			IQG07Q01N01	Al-Hashimiya	الهاشمية			IQG07Q01	Babil	بابل			IQG07	Iraq	العراق			IQ	2019-06-03 00:00:00		637.00085655	v01	en	ar			Al-Qasim	32.24963031	44.68442745
Al-Qayarra	القيارة			IQG15Q05N01	Al-Mosul	الموصل			IQG15Q05	Ninewa	نينوى			IQG15	Iraq	العراق			IQ	2019-06-03 00:00:00		1625.03731888	v01	en	ar			Al-Qayarra	35.85049784	43.2387458
Al-Qosh	القوش			IQG15Q09N02	Tilkaef	تلكيف			IQG15Q09	Ninewa	نينوى			IQG15	Iraq	العراق			IQ	2019-06-03 00:00:00		461.9462492	v01	en	ar			Al-Qosh	36.67655588	43.05795141
Al-Rahhaliya	الرحالية			IQG01Q03N02	Al-Ramadi	الرمادي			IQG01Q03	Al-Anbar	الانبار			IQG01	Iraq	العراق			IQ	2019-06-03 00:00:00		2716.39495766	v01	en	ar			Al-Rahhaliya	32.89608357	43.15816387
Al-Rashad	الرشاد			IQG13Q02N01	Daquq	داقوق			IQG13Q02	Kirkuk	كركوك			IQG13	Iraq	العراق			IQ	2019-06-03 00:00:00		1409.90490776	v01	en	ar			Al-Rashad	35.01589513	43.99576053
Al-Rashdia	الراشدية			IQG08Q01N03	Al-Adhamiya	الاعظمية			IQG08Q01	Baghdad	بغداد			IQG08	Iraq	العراق			IQ	2019-06-03 00:00:00		131.69198574	v01	en	ar			Al-Rashdia	33.54805605	44.40847831
Al-Rasheed	الرشيد			IQG08Q05N02	Al-Mahmoudiya	المحمودية			IQG08Q05	Baghdad	بغداد			IQG08	Iraq	العراق			IQ	2019-06-03 00:00:00		332.88737564	v01	en	ar			Al-Rasheed	33.12457849	44.41412205
Al-Riyadh	الرياض			IQG13Q01N03	Al-Hawiga	الحويجة			IQG13Q01	Kirkuk	كركوك			IQG13	Iraq	العراق			IQ	2019-06-03 00:00:00		1004.93491038	v01	en	ar			Al-Riyadh	35.19904476	43.83878526
Al-Rummaneh	الرمانة			IQG01Q02N03	Al-Kaim	القائم			IQG01Q02	Al-Anbar	الانبار			IQG01	Iraq	العراق			IQ	2019-06-03 00:00:00		2232.28938793	v01	en	ar			Al-Rummaneh	34.73004743	41.38456504
Al-Saadiya	السعدية			IQG10Q05N01	Khanaqin	خانقين			IQG10Q05	Diyala	ديالى			IQG10	Iraq	العراق			IQ	2019-06-03 00:00:00		603.84529805	v01	en	ar			Al-Saadiya	34.10049102	45.15334878
Al-Sadeer	السدير			IQG05Q03N01	Al-Hamza	الحمزة			IQG05Q03	Al-Qadissiya	القادسية			IQG05	Iraq	العراق			IQ	2019-06-03 00:00:00		599.44528714	v01	en	ar			Al-Sadeer	31.79795608	45.00741522
Al-Salam	السلام			IQG14Q04N01	Al-Maimouna	الميمونة			IQG14Q04	Maysan	ميسان			IQG14	Iraq	العراق			IQ	2019-06-03 00:00:00		1347.44575768	v01	en	ar			Al-Salam	31.38170628	46.84627794
Al-Saniya	السنية			IQG05Q02N02	Al-Diwaniya	الديوانية			IQG05Q02	Al-Qadissiya	القادسية			IQG05	Iraq	العراق			IQ	2019-06-03 00:00:00		211.94961378	v01	en	ar			Al-Saniya	32.03816994	44.78848808
Al-Shabaka	الشبكة			IQG04Q03N02	Al-Najaf	النجف			IQG04Q03	Al-Najaf	النجف			IQG04	Iraq	العراق			IQ	2019-06-03 00:00:00		36523.6233582	v01	en	ar			Al-Shabaka	31.00748756	43.41382598
Al-Shafeia	الشافعية			IQG05Q02N03	Al-Diwaniya	الديوانية			IQG05Q02	Al-Qadissiya	القادسية			IQG05	Iraq	العراق			IQ	2019-06-03 00:00:00		411.05721436	v01	en	ar			Al-Shafeia	31.8945431	44.82339764
Al-Shamal	الشمال			IQG15Q07N02	Sinjar	سنجار			IQG15Q07	Ninewa	نينوى			IQG15	Iraq	العراق			IQ	2019-06-03 00:00:00		1433.35652722	v01	en	ar			Al-Shamal	36.47401943	41.72045758
Al-Shehamiya	الشحيمية			IQG18Q04N02	Al-Suwaira	الصويرة			IQG18Q04	Wassit	واسط			IQG18	Iraq	العراق			IQ	2019-06-03 00:00:00		600.92860399	v01	en	ar			Al-Shehamiya	32.68199693	45.00474145
Al-Shinafiya	الشنافية			IQG05Q03N02	Al-Hamza	الحمزة			IQG05Q03	Al-Qadissiya	القادسية			IQG05	Iraq	العراق			IQ	2019-06-03 00:00:00		1114.96147992	v01	en	ar			Al-Shinafiya	31.49192938	44.73908565
Al-Shomaly	الشوملي			IQG07Q01N02	Al-Hashimiya	الهاشمية			IQG07Q01	Babil	بابل			IQG07	Iraq	العراق			IQ	2019-06-03 00:00:00		558.6281858	v01	en	ar			Al-Shomaly	32.36389481	44.99899521
Al-Siba	السيبة			IQG02Q01N01	Abu Al-Khaseeb	ابي الخصيب			IQG02Q01	Al-Basrah	البصرة			IQG02	Iraq	العراق			IQ	2019-06-03 00:00:00		952.51615394	v01	en	ar			Al-Siba	30.31563221	48.05098281
Al-Sowair	السوير			IQG03Q04N01	Al-Samawa	السماوة			IQG03Q04	Al-Muthanna	المثنى			IQG03	Iraq	العراق			IQ	2019-06-03 00:00:00		1011.08887434	v01	en	ar			Al-Sowair	31.21721949	45.30059456
Al-Synia	الصينية			IQG16Q03N02	Beygee	بيجي			IQG16Q03	Salah Al-Din	صلاح الدين			IQG16	Iraq	العراق			IQ	2019-06-03 00:00:00		5295.33074336	v01	en	ar			Al-Synia	34.77281141	43.02487964
Al-Taji	التاجي			IQG08Q02N05	Al-Kadhmiyah	الكاظمية			IQG08Q02	Baghdad	بغداد			IQG08	Iraq	العراق			IQ	2019-06-03 00:00:00		336.40293291	v01	en	ar			Al-Taji	33.51553701	44.23492216
Al-Tar	الطار			IQG17Q05N02	Suq Al-Shoyokh	سوق الشيوخ			IQG17Q05	Thi Qar	ذي قار			IQG17	Iraq	العراق			IQ	2019-06-03 00:00:00		162.74740586	v01	en	ar			Al-Tar	30.9262042	46.65381414
Al-Tarmiya	الطارمية			IQG08Q02N04	Al-Kadhmiyah	الكاظمية			IQG08Q02	Baghdad	بغداد			IQG08	Iraq	العراق			IQ	2019-06-03 00:00:00		412.87086395	v01	en	ar			Al-Tarmiya	33.64939798	44.2501072
Al-Teeb	الطيب			IQG14Q01N02	Al-Amara	العمارة			IQG14Q01	Maysan	ميسان			IQG14	Iraq	العراق			IQ	2019-06-03 00:00:00		2421.86975672	v01	en	ar			Al-Teeb	32.21839103	47.27731952
